Product-Name, MRP, Price, Image 
Masoor Dal (Split) 1 kg, ₹170, ₹96, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/u/m/j/1-masoor-dal-masoor-dal-unbranded-original-imafw47hcsbfhhmz.jpeg?q=70
Urad Dal (Whole) 1 kg, ₹190, ₹109, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/d/d/r/1-urad-dal-whole-urad-dal-unbranded-original-imafw47hyvjkacjc.jpeg?q=70
safe harvest Toor/Arhar Dal (Pesticide Free) 1 kg, ₹225, ₹171, https://rukminim1.flixcart.com/image/280/280/ktx9si80/pulses/o/x/n/tur-dal-toor-dal-safe-harvest-original-imag762nbvgz3d7e.jpeg?q=70
Yellow Moong Dal (Split) 1 kg, ₹170, ₹111, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/p/4/4/1-moong-dal-moong-dal-unbranded-original-imafw49gwwqyuhhr.jpeg?q=70
safe harvest Peanut (Whole) (Pesticide Free) 500 g, ₹129, ₹122, https://rukminim1.flixcart.com/image/280/280/ktx9si80/pulses/b/l/5/groundnut-peanut-safe-harvest-original-imag762nrkfyjctm.jpeg?q=70
Brown Chana (Whole) 1 kg, ₹120, ₹81, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/9/t/4/1-chana-brown-chana-unbranded-original-imafw47h3wss3xe3.jpeg?q=70
Saffola Soya Chunks 200 g, ₹60, ₹43, https://rukminim1.flixcart.com/image/280/280/xif0q/soya-chunk/o/d/e/-original-imaggwxnxfhvdrqc.jpeg?q=70
Chana Dal (Split) 1 kg, ₹130, ₹75, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/q/e/x/1-chana-dal-chana-dal-unbranded-original-imafw49gj2ctg4xd.jpeg?q=70
Raw Peanut (Whole) 500 g, ₹130, ₹77, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/a/b/y/500-raw-peanuts-mungaphali-shengdana-raw-peanut-unbranded-original-imafw47hntgehtdp.jpeg?q=70
Toor/Arhar Dal (Split) 1 kg, ₹190, ₹124, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/8/u/r/1-toor-dal-arhar-dal-desi-toor-dal-unbranded-original-imafw49gxj269b5w.jpeg?q=70
Tata Sampann Yellow Toor/Arhar Dal (Split) 2 kg, ₹383, ₹240, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/a/s/e/-original-imagm6xeubkc7rc3.jpeg?q=70
Raw Peanut (Whole) 1 kg, ₹240, ₹163, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/v/4/g/1-raw-peanuts-mungaphali-shengdana-raw-peanut-unbranded-original-imafw49gung9dcfm.jpeg?q=70
Desi Choice Rajma Kashmiri (Whole) 1 kg, ₹150, ₹85, https://rukminim1.flixcart.com/image/280/280/kd69z0w0/pulses/b/s/k/1-rajma-kashmiri-rajma-kashmiri-desi-choice-original-imafu4vhzwvzvakk.jpeg?q=70
Kabuli Chana (Whole) 1 kg, ₹190, ₹122, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/t/k/v/1-kabuli-chana-chana-unbranded-original-imafw49g9nkgp9bh.jpeg?q=70
Tata Sampann Green Moong Dal (Whole) 500 g, ₹88, ₹66, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/s/c/b/-original-imagm6xfya7frg2k.jpeg?q=70
Fortune Soya Chunks 1 kg, ₹200, ₹140, https://rukminim1.flixcart.com/image/280/280/kkzrpu80/soya-chunk/i/k/4/fortune-soya-chunks-pouch-pouch-soya-chunks-fortune-original-imagy7kwqydjcjv6.jpeg?q=70
NUTRELA Soya Chunks 1 kg, ₹210, ₹193, https://rukminim1.flixcart.com/image/280/280/kx6fwcw0/soya-chunk/h/0/f/-original-imag9p3pacw4qfyh.jpeg?q=70
Black Masoor Dal (Whole) 500 g, ₹100, ₹50, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/5/v/g/500-masoor-black-whole-sabut-masoor-dal-unbranded-original-imafw47henahzqhy.jpeg?q=70
Flipkart Supermart Select Red Masoor Dal (Whole) 1 kg, ₹170, ₹109, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/d/n/y/-original-imagh74ug4hmknra.jpeg?q=70
Tata Sampann Toor Dal 1 kg with Urad Dal 1 kg 2 kg, ₹388, ₹248, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/m/s/8/-original-imagh62zmz8yw22v.jpeg?q=70
Tata Sampann Toor Dal 1 kg with Moong Dal 1 kg 2 kg, ₹379, ₹223, https://rukminim1.flixcart.com/image/280/280/xif0q/pulses/o/6/6/-original-imagh62ncygxhr8u.jpeg?q=70
Desi Choice Masoor Dal (Whole) 1 kg, ₹150, ₹98, https://rukminim1.flixcart.com/image/280/280/kdqa4y80/pulses/m/n/w/1-red-masoor-whole-masoor-dal-desi-choice-original-imafukqftmze6psg.jpeg?q=70
Masoor Dal (Whole) 500 g, ₹100, ₹53, https://rukminim1.flixcart.com/image/280/280/kfpq5jk0/pulses/j/d/h/500-red-masoor-dal-whole-masoor-dal-unbranded-original-imafw47hzxgnhjtb.jpeg?q=70
Desi Choice Rajma Chithra (Whole) 1 kg, ₹150, ₹99, https://rukminim1.flixcart.com/image/280/280/kngd0nk0/pulses/q/r/c/rajma-chitra-rajma-chithra-desi-choice-original-imag24myhpz4vge5.jpeg?q=70
Rajdhani Kabuli Chana (Whole) 500 g, ₹96, ₹70, https://rukminim1.flixcart.com/image/280/280/ju04akw0/pulses/n/a/z/500-kabuli-chana-kabuli-chana-rajdhani-original-imaff8awexnyzzpe.jpeg?q=70
